Biodiesel feedstock,Sample Type,Density(g/ml at RT),Viscosity(cP at RT),molar ratio(unit oil),catalyst amount(wt%),Reaction temp©,Reaction Time(hr),catalysts,catalysts type,biodiesel yield(%)
palm oil,edible oil,0.9,60,0.5,5,65,2.5,CaO,heterogeneous base,
soybean oil,edible oil,0.92,60,6,25,67,5,CaO,heterogeneous base,73.8
rapeseed oil,edible oil,0.92,34,9,3,70,3,biont shell,heterogeneous base,97.5
rapeseed oil,edible oil,0.92,34,9,2.5,65,3,shrimp shell,heterogeneous base,89.1
soybean oil,edible oil,0.92,60,6.27,1.01,65,5,fish scale,heterogeneous base,97.73
mustard oil,non edible oil,0.92,36,9,3,65,6,waste shell of Turbonilla striatula,heterogeneous base,93.3
tallow oil,animal fat,0.94,300,12,5,70,15,CaO - waste freshwater mussel shell,heterogeneous base,96
palm olein oil,edible oil,0.91,60,0.54,4.9,,3,waste Anadara granosa shell,heterogeneous base,97.48
waste frying oil,waste cooking oil,0.94,100,6.03,3,60,3,calcined clamshell-Mereterix mereterix,heterogeneous base,89
soybean oil,edible oil,0.92,60,10,3.5,60,4,calcined oyster shell,heterogeneous base,85
palm oil,edible oil,0.9,60,7,4,60,4,CaO-Pomacea sp.,heterogeneous base,95.61
waste frying oil,waste cooking oil,0.94,100,6.03,2,60,8,calcined snail shell,heterogeneous base,87.28
palm olein oil,edible oil,0.91,60,12,10,60,2,CaO,heterogeneous base,93.2
palm oil,edible oil,0.9,60,18,20,60,4,CaO,heterogeneous base,96.78
peanut oil,edible oil,0.92,45,20,18,60,4,goat animal bone,heterogeneous base,94.96
palm oil,edible oil,0.9,60,20,99,65,44,,heterogeneous base,92.94
soybean oil,edible oil,0.92,60,12,5,65,4,solid base catalyst - Li2CO3- modified waste peanut husk,heterogeneous base,98.4
palm oil,edible oil,0.9,60,9,10,65,3,calcined scallop waste shell,heterogeneous base,95.44
palm oil,edible oil,0.9,60,12,8,65,3,CaO-molluscs shell,heterogeneous base,96.77
soybean oil,edible oil,0.92,60,15,5,65,4,calcined - chicken bones,heterogeneous base,89.33
palm oil,edible oil,0.9,60,9,7,65,4,rice husk ash supported CaO,heterogeneous base,91.5
waste frying oil,waste cooking oil,0.94,100,9,9,60,4,solid base CaO - waste chicken eggshell,heterogeneous base,92
canola oil,edible oil,0.92,31,12,5,60,5,waste animal bone as support for CaO impregnation,heterogeneous base,95.18
waste cooking oil,waste cooking oil,0.92,67,6,2,60,3,heterogeneous base catalyst - Musa balbisiana Colla peel,heterogeneous base,100
soybean oil,edible oil,0.92,60,12,4,65,3,solid base heterogeneous catalyst,heterogeneous base,89
canola oil,edible oil,0.92,31,12,12,60,2,Red Mud as heterogeneous base catalsyt,heterogeneous base,99.6
jatropha oil,non edible oil,0.92,37,9,6,70,3,KOH/calcined waste animal bone,heterogeneous base,96.1
date seed oil,edible oil,0.92,60,12,5,65,1.5,waste egg shell,heterogeneous base,93.5
refined soybean oil,edible oil,0.92,50,10,7,57.5,3,heterogeneous alkali catalyst - waste chicken egg shell,heterogeneous base,93
chicken fat,animal fat,0.9,250,13,8.5,57.5,5,calcined chicken eggshell,heterogeneous base,90.41
rapeseed oil,edible oil,0.92,34,9,4,60,1,CaO-heterogenous base catalyst - waste eggshell,heterogeneous base,95.12
used cooking oil,waste cooking oil,0.92,67,10,1.98,65,1.54,CaO - waste chicken and fish bones,heterogeneous base,89.5
soybean oil,edible oil,0.92,60,12,7,65,0.42,heterogeneous base catalyst - waste Brassica nigra plant,heterogeneous base,98.79
waste cooking oil,waste cooking oil,0.92,67,15,5,60,4,ostrich(Struthio camelus) bone sample,heterogeneous base,90.56
sunflower oil,edible oil,0.92,60,12,7,65,0.67,heterogeneous base catalyst - waste Sesamum indicum plant,heterogeneous base,98.9
rubber seed oil,non edible oil,0.93,150,9,5,65,4,CaO - eggshell,heterogeneous base,97.84
waste cooking oil,waste cooking oil,0.92,67,9,6,65,3,CaO - heterogenous base catalyst - waste oyster shell,heterogeneous base,87.3
waste frying oil,waste cooking oil,0.94,100,15,4,65,2.5,waste chicken eggshell,heterogeneous base,93.27
waste cooking oil,waste cooking oil,0.92,67,15,3.5,65,2.5,waste rice straw,heterogeneous base,97.3
soybean oil,edible oil,0.92,60,6,6,65,2,calcine moringa leaves,heterogeneous base,86.7
palm kernel oil,edible oil,0.85,225,8,4,65,3,CaO,heterogeneous base,86
palm oil,edible oil,0.9,60,6,0.92,60,5,TiO2 - ZnO,heterogeneous base,92.2
rapeseed oil,edible oil,0.92,34,12,3,70,3,KF/CaO-MgO,heterogeneous base,95
soybean oil,edible oil,0.92,60,16,6,60,2,ZrO2/C4H4O6HK,heterogeneous base,98.03
soybean oil,edible oil,0.92,60,18,0.1,225,1,Nano-MgO on TiO2,heterogeneous base,95
soybean oil,edible oil,0.92,60,25,1.3,60,1,Sr3Al2O6,heterogeneous base,95.7
soybean oil,edible oil,0.92,60,40,4,175,1,Al2O3/ZrO2/WO3,heterogeneous base,100
sunflower mustard oil,edible oil,0.92,37,20,3,200,5,Zirconia supported HPA,heterogeneous base,97
sunflower oil,edible oil,0.92,60,6,10,60,6,CaO Nanoparticles/NaX Zeolite,heterogeneous base,93.5
waste cooking oil,waste cooking oil,0.92,67,12,4,35,3,La3+/ZnO-TiO2 photocatalyst,heterogeneous base,96.14
